0,fname,matricule,departmet,levels,sex,db1,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110
23,BNF 201,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
24,CSC 202,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,19,23,0,2,84,0,,,,
25,CSC 202,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,19,43,24.8,2,,,,,,
26,ECN 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,16,32,28.8,3,144,0,,,,
27,ECN 201,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,16,39,33,3,,,,,,
28,ECN 203,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,19,37,33.6,3,168,0,,,,
29,ECN 203,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,19,Validated,,,,,,,,
30,ECN 206,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,12,38,0,3,150,0,,,,
31,ECN 206,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,12,Validated,,,,,,,,
32,ENG 101,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,8,13,8.4,2,42,0,,,,
33,ENG 101,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,8,38,18.4,2,,,,,,
34,FRE 101,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,7,13,8,2,40,0,,,,
35,FRE 101,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,7,,2.8,2,,,,,,
36,INS 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,17,33,30,3,150,0,,,,
37,INS 201,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,17,Validated,,,,,,,,
38,LAW 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,10,20,6,1,30,0,,,,
39,LAW 201,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,10,,2,1,,,,,,
40,LAW 202,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,7.5,18,0,1,25.5,0,,,,
41,LAW 202,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,7.5,34,8.3,1,,,,,,
42,MGS 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,14,31,27,3,135,0,,,,
43,MGS 201,HIMS/01/12/0512,ACCOUNTANCY,200,3,2013/2014,14,,8.4,3,,,,,,
44,MGS 204,HIMS/01/12/0512,ACCOUNTANCY,200,2,2013/2014,15,38,0,2,106,0,,,,
45,MGS 204,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
46,MKG 201,HIMS/01/12/0512,ACCOUNTANCY,200,1,2013/2014,15,36,30.6,3,153,0,,,,
47,MKG 201,HIMS/01/12/0512,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
48,ACY 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
49,ACY 202,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
50,ACY 208,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
51,ACY 210,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
52,ACY212,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
53,BNF 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
54,CSC 202,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,2,0,0,,,,
55,ECN 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
56,ECN 203,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
57,ECN 206,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
58,ENG 101,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,2,0,0,,,,
59,FRE 101,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,2,0,0,,,,
60,INS 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,3,0,0,,,,
61,LAW 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,,,0,1,0,0,,,,
62,LAW 202,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,1,0,0,,,,
63,MGS 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,8,,4.8,3,24,0,,,,
64,MGS 204,HIMS/01/13/0001,ACCOUNTANCY,200,2,2013/2014,,,0,2,0,0,,,,
65,MKG 201,HIMS/01/13/0001,ACCOUNTANCY,200,1,2013/2014,17,18,21,3,105,0,,,,
66,ACY 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,16,35,30.6,3,153,0,,,,
67,ACY 201,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
68,ACY 202,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,18,49,0,3,201,0,,,,
69,ACY 202,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
70,ACY 208,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,22,55,0,3,231,0,,,,
71,ACY 208,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,22,Validated,,,,,,,,
72,ACY 210,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,22,34,0,3,168,0,,,,
73,ACY 210,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,22,Validated,,,,,,,,
74,ACY212,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,15,27,0,3,126,0,,,,
75,ACY212,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,15,55,42,3,,,,,,
76,BNF 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,9,20,17.4,3,87,0,,,,
77,BNF 201,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,9,44,31.8,3,,,,,,
78,CSC 202,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,19,39,0,2,116,0,,,,
79,CSC 202,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,19,Validated,,,,,,,,
80,ECN 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,18,34,31.2,3,156,0,,,,
81,ECN 201,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
82,ECN 203,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,17,25,25.2,3,126,0,,,,
83,ECN 203,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,17,30,28.2,3,,,,,,
84,ECN 206,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,21,55,0,3,228,0,,,,
85,ECN 206,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,21,Validated,,,,,,,,
86,ENG 101,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,15,27,16.8,2,84,0,,,,
87,ENG 101,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,15,50,26,2,,,,,,
88,FRE 101,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,17,32,19.6,2,98,0,,,,
89,FRE 101,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,17,,6.8,2,,,,,,
90,INS 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,15,49,38.4,3,192,0,,,,
91,INS 201,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
92,LAW 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,16,30,9.2,1,46,0,,,,
93,LAW 201,HIMS/01/13/0002,ACCOUNTANCY,200,3,2013/2014,16,49,13,1,,,,,,
94,LAW 202,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,15,47,0,1,62,0,,,,
95,LAW 202,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
96,MGS 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,20,42,37.2,3,186,0,,,,
97,MGS 201,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,20,Validated,,,,,,,,
98,MGS 204,HIMS/01/13/0002,ACCOUNTANCY,200,2,2013/2014,16,59,0,2,150,0,,,,
99,MGS 204,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
100,MKG 201,HIMS/01/13/0002,ACCOUNTANCY,200,1,2013/2014,8,50,34.8,3,174,0,,,,
101,MKG 201,HIMS/01/13/0002,ACCOUNTANCY,200,,2013/2014,8,Validated,,,,,,,,
102,ACY 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,23,56,47.4,3,237,0,,,,
103,ACY 202,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,19,48,0,3,201,0,,,,
104,ACY 208,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,16,42,0,3,174,0,,,,
105,ACY 210,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,25,24,0,3,147,0,,,,
106,ACY212,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,21,36,0,3,171,0,,,,
107,BNF 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,21,40,36.6,3,183,0,,,,
108,CSC 202,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,19.5,26,0,2,91,0,,,,
109,ECN 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,18,33,30.6,3,153,0,,,,
110,ECN 203,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,18,52,42,3,210,0,,,,
111,ECN 206,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,5,39,0,3,132,0,,,,
112,ENG 101,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,22,49,28.4,2,142,0,,,,
113,FRE 101,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,24,51,30,2,150,0,,,,
114,INS 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,15,50,39,3,195,0,,,,
115,LAW 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,23,36,11.8,1,59,0,,,,
116,LAW 202,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,16.5,42,0,1,58.5,0,,,,
117,MGS 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,20,46,39.6,3,198,0,,,,
118,MGS 204,HIMS/01/13/0003,ACCOUNTANCY,200,2,2013/2014,12,44,0,2,112,0,,,,
119,MKG 201,HIMS/01/13/0003,ACCOUNTANCY,200,1,2013/2014,19,37,33.6,3,168,0,,,,
120,ACY 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,21.5,41,37.5,3,187.5,0,,,,
121,ACY 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,21.5,Validated,,,,,,,,
122,ACY 202,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,11,39,0,3,150,0,,,,
123,ACY 202,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,11,Validated,,,,,,,,
124,ACY 208,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,16,42,0,3,174,0,,,,
125,ACY 208,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
126,ACY 210,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,19.5,30,0,3,148.5,0,,,,
127,ACY 210,HIMS/01/13/0004,ACCOUNTANCY,200,3,2013/2014,19.5,50,41.7,3,,,,,,
128,ACY212,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,16,30,0,3,138,0,,,,
129,ACY212,HIMS/01/13/0004,ACCOUNTANCY,200,3,2013/2014,16,60,45.6,3,,,,,,
130,BNF 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,15,58,43.8,3,219,0,,,,
131,BNF 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
132,CSC 202,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,18,32,0,2,100,0,,,,
133,CSC 202,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
134,ECN 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,18,48,39.6,3,198,0,,,,
135,ECN 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
136,ECN 203,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,17,39,33.6,3,168,0,,,,
137,ECN 203,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,17,Validated,,,,,,,,
138,ECN 206,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,6,55,0,3,183,0,,,,
139,ECN 206,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,6,Validated,,,,,,,,
140,ENG 101,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,15,40,22,2,110,0,,,,
141,ENG 101,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
142,FRE 101,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,15,37,20.8,2,104,0,,,,
143,FRE 101,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
144,INS 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,22,45,40.2,3,201,0,,,,
145,INS 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,22,Validated,,,,,,,,
146,LAW 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,21,31,10.4,1,52,0,,,,
147,LAW 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,21,Validated,,,,,,,,
148,LAW 202,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,15,41,0,1,56,0,,,,
149,LAW 202,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
150,MGS 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,15,40,33,3,165,0,,,,
151,MGS 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
152,MGS 204,HIMS/01/13/0004,ACCOUNTANCY,200,2,2013/2014,15,46,0,2,122,0,,,,
153,MGS 204,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
154,MKG 201,HIMS/01/13/0004,ACCOUNTANCY,200,1,2013/2014,11,62,43.8,3,219,0,,,,
155,MKG 201,HIMS/01/13/0004,ACCOUNTANCY,200,,2013/2014,11,Validated,,,,,,,,
156,ACY 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,14,15,17.4,3,87,0,,,,
157,ACY 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,14,41,33,3,,,,,,
158,ACY 202,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,15,35,0,3,150,0,,,,
159,ACY 202,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
160,ACY 208,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,12,33,0,3,135,0,,,,
161,ACY 208,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,12,58,42,3,,,,,,
162,ACY 210,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,10,31,0,3,123,0,,,,
163,ACY 210,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,10,16,15.6,3,,,,,,
164,ACY212,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,18,42,0,3,180,0,,,,
165,ACY212,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
166,BNF 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,12,35,28.2,3,141,0,,,,
167,BNF 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,12,43,33,3,,,,,,
168,CSC 202,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,17.5,35,0,2,105,0,,,,
169,CSC 202,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,17.5,Validated,,,,,,,,
170,ECN 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,17,31,28.8,3,144,0,,,,
171,ECN 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,17,38,33,3,,,,,,
172,ECN 203,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,22,41,37.8,3,189,0,,,,
173,ECN 203,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,22,Validated,,,,,,,,
174,ECN 206,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,12,42,0,3,162,0,,,,
175,ECN 206,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,12,Validated,,,,,,,,
176,ENG 101,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,13,24,14.8,2,74,0,,,,
177,ENG 101,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,13,55,27.2,2,,,,,,
178,FRE 101,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,13,32,18,2,90,0,,,,
179,FRE 101,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,13,28,16.4,2,,,,,,
180,INS 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,11,44,33,3,165,0,,,,
181,INS 201,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,11,Validated,,,,,,,,
182,LAW 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,12,,2.4,1,12,0,,,,
183,LAW 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,12,,2.4,1,,,,,,
184,LAW 202,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,12,33,0,1,45,0,,,,
185,LAW 202,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,12,,2.4,1,,,,,,
186,MGS 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,6,26,19.2,3,96,0,,,,
187,MGS 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,6,,3.6,3,,,,,,
188,MGS 204,HIMS/01/13/0005,ACCOUNTANCY,200,2,2013/2014,15,43,0,2,116,0,,,,
189,MGS 204,HIMS/01/13/0005,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
190,MKG 201,HIMS/01/13/0005,ACCOUNTANCY,200,1,2013/2014,11,27,22.8,3,114,0,,,,
191,MKG 201,HIMS/01/13/0005,ACCOUNTANCY,200,3,2013/2014,11,,6.6,3,,,,,,
192,ACY 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,18,52,42,3,210,0,,,,
193,ACY 202,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,16,27,0,3,129,0,,,,
194,ACY 208,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,25,64,0,3,267,0,,,,
195,ACY 210,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,19,32,0,3,153,0,,,,
196,ACY212,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,9.2,15,0,3,72.6,0,,,,
197,BNF 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,22,52,44.4,3,222,0,,,,
198,CSC 202,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,26,35,0,2,122,0,,,,
199,ECN 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,16,44,36,3,180,0,,,,
200,ECN 203,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,25,45,42,3,210,0,,,,
201,ECN 206,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,15,59,0,3,222,0,,,,
202,ENG 101,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,22,33,22,2,110,0,,,,
203,FRE 101,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,24,65,35.6,2,178,0,,,,
204,INS 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,15,37,31.2,3,156,0,,,,
205,LAW 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,18,57,15,1,75,0,,,,
206,LAW 202,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,20,47,0,1,67,0,,,,
207,MGS 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,18,46,38.4,3,192,0,,,,
208,MGS 204,HIMS/01/13/0014,ACCOUNTANCY,200,2,2013/2014,17,40,0,2,114,0,,,,
209,MKG 201,HIMS/01/13/0014,ACCOUNTANCY,200,1,2013/2014,13,43,33.6,3,168,0,,,,
210,ACY 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,21,28,29.4,3,147,0,,,,
211,ACY 201,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,21,50,42.6,3,,,,,,
212,ACY 202,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,15,,0,3,45,0,,,,
213,ACY 202,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,15,60,45,3,,,,,,
214,ACY 208,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,15,39,0,3,162,0,,,,
215,ACY 208,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
216,ACY 210,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,,,0,3,0,0,,,,
217,ACY 210,HIMS/01/13/0015,ACCOUNTANCY,200,Not Eligible,2013/2014,,Not Eligible,,,,,,,,
218,ACY212,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,13,,0,3,39,0,,,,
219,ACY212,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,13,,7.8,3,,,,,,
220,BNF 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,18,37,33,3,165,0,,,,
221,BNF 201,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,18,Validated,,,,,,,,
222,CSC 202,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,21.5,,0,2,43,0,,,,
223,CSC 202,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,21.5,58,31.8,2,,,,,,
224,ECN 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,13,33,27.6,3,138,0,,,,
225,ECN 201,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,13,46,35.4,3,,,,,,
226,ECN 203,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,10,36,27.6,3,138,0,,,,
227,ECN 203,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,10,50,36,3,,,,,,
228,ECN 206,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,11,52,0,3,189,0,,,,
229,ECN 206,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,11,Validated,,,,,,,,
230,ENG 101,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,16,32,19.2,2,96,0,,,,
231,ENG 101,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,16,44,24,2,,,,,,
232,FRE 101,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,16,45,24.4,2,122,0,,,,
233,FRE 101,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,16,Validated,,,,,,,,
234,INS 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,15,37,31.2,3,156,0,,,,
235,INS 201,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
236,LAW 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,13,39,10.4,1,52,0,,,,
237,LAW 201,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,13,Validated,,,,,,,,
238,LAW 202,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,16,29,0,1,45,0,,,,
239,LAW 202,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,16,16,6.4,1,,,,,,
240,MGS 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,18,,10.8,3,54,0,,,,
241,MGS 201,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,18,,10.8,3,,,,,,
242,MGS 204,HIMS/01/13/0015,ACCOUNTANCY,200,2,2013/2014,14,27,0,2,82,0,,,,
243,MGS 204,HIMS/01/13/0015,ACCOUNTANCY,200,3,2013/2014,14,32,18.4,2,,,,,,
244,MKG 201,HIMS/01/13/0015,ACCOUNTANCY,200,1,2013/2014,15,37,31.2,3,156,0,,,,
245,MKG 201,HIMS/01/13/0015,ACCOUNTANCY,200,,2013/2014,15,Validated,,,,,,,,
246,LAW 201,HIMS/01/13/0025,ACCOUNTANCY,200,3,2013/2014,22.5,15.5,,,0,,,,,
247,ECN 203,HIMS/01/13/0025,ACCOUNTANCY,200,3,2013/2014,3,14,,,0,,,,,
